ACT,Australian Central Standard Time (Northern Territory),+9:30
AET,Australian Eastern Daylight Time (New South Wales),+11:00
AET,Australian Eastern Standard Time (New South Wales),+10:00
AGT,Argentine Time,-3:00
ART,Eastern European Time,+2:00
AST,Alaska Standard Time,-9:00
Africa/Abidjan,Greenwich Mean Time,+0:00
Africa/Accra,Ghana Mean Time,+0:00
Africa/Addis_Ababa,Eastern African Time,+3:00
Africa/Algiers,Central European Time,+1:00
Africa/Asmara,Eastern African Time,+3:00
Africa/Asmera,Eastern African Time,+3:00
Africa/Bamako,Greenwich Mean Time,+0:00
Africa/Bangui,Western African Time,+1:00
Africa/Banjul,Greenwich Mean Time,+0:00
Africa/Bissau,Greenwich Mean Time,+0:00
Africa/Blantyre,Central African Time,+2:00
Africa/Brazzaville,Western African Time,+1:00
Africa/Bujumbura,Central African Time,+2:00
Africa/Cairo,Eastern European Time,+2:00
Africa/Casablanca,Western European Time,+0:00
Africa/Ceuta,Central European Time,+1:00
Africa/Conakry,Greenwich Mean Time,+0:00
Africa/Dakar,Greenwich Mean Time,+0:00
Africa/Dar_es_Salaam,Eastern African Time,+3:00
Africa/Djibouti,Eastern African Time,+3:00
Africa/Douala,Western African Time,+1:00
Africa/El_Aaiun,Western European Time,+0:00
Africa/Freetown,Greenwich Mean Time,+0:00
Africa/Gaborone,Central African Time,+2:00
Africa/Harare,Central African Time,+2:00
Africa/Johannesburg,South Africa Standard Time,+2:00
Africa/Juba,Eastern African Time,+3:00
Africa/Kampala,Eastern African Time,+3:00
Africa/Khartoum,Eastern African Time,+3:00
Africa/Kigali,Central African Time,+2:00
Africa/Kinshasa,Western African Time,+1:00
Africa/Lagos,Western African Time,+1:00
Africa/Libreville,Western African Time,+1:00
Africa/Lome,Greenwich Mean Time,+0:00
Africa/Luanda,Western African Time,+1:00
Africa/Lubumbashi,Central African Time,+2:00
Africa/Lusaka,Central African Time,+2:00
Africa/Malabo,Western African Time,+1:00
Africa/Maputo,Central African Time,+2:00
Africa/Maseru,South Africa Standard Time,+2:00
Africa/Mbabane,South Africa Standard Time,+2:00
Africa/Mogadishu,Eastern African Time,+3:00
Africa/Monrovia,Greenwich Mean Time,+0:00
Africa/Nairobi,Eastern African Time,+3:00
Africa/Ndjamena,Western African Time,+1:00
Africa/Niamey,Western African Time,+1:00
Africa/Nouakchott,Greenwich Mean Time,+0:00
Africa/Ouagadougou,Greenwich Mean Time,+0:00
Africa/Porto-Novo,Western African Time,+1:00
Africa/Sao_Tome,Greenwich Mean Time,+0:00
Africa/Timbuktu,Greenwich Mean Time,+0:00
Africa/Tripoli,Eastern European Time,+2:00
Africa/Tunis,Central European Time,+1:00
Africa/Windhoek,Western African Summer Time,+2:00
Africa/Windhoek,Western African Time,+1:00
America/Adak,Hawaii Standard Time,-10:00
America/Anchorage,Alaska Standard Time,-9:00
America/Anguilla,Atlantic Standard Time,-4:00
America/Antigua,Atlantic Standard Time,-4:00
America/Araguaina,Brasilia Time,-3:00
America/Argentina/Buenos_Aires,Argentine Time,-3:00
America/Argentina/Catamarca,Argentine Time,-3:00
America/Argentina/ComodRivadavia,Argentine Time,-3:00
America/Argentina/Cordoba,Argentine Time,-3:00
America/Argentina/Jujuy,Argentine Time,-3:00
America/Argentina/La_Rioja,Argentine Time,-3:00
America/Argentina/Mendoza,Argentine Time,-3:00
America/Argentina/Rio_Gallegos,Argentine Time,-3:00
America/Argentina/Salta,Argentine Time,-3:00
America/Argentina/San_Juan,Argentine Time,-3:00
America/Argentina/San_Luis,Argentine Time,-3:00
America/Argentina/Tucuman,Argentine Time,-3:00
America/Argentina/Ushuaia,Argentine Time,-3:00
America/Aruba,Atlantic Standard Time,-4:00
America/Asuncion,Paraguay Summer Time,-3:00
America/Asuncion,Paraguay Time,-4:00
America/Atikokan,Eastern Standard Time,-5:00
America/Atka,Hawaii Standard Time,-10:00
